,maxLoad,stressMaxLoad,strainMaxLoad,energyAbsorp,youngsMod,ph,sec_Mn,sec_Mw,sec_polyDisp,sec_calcMass,sec_massRec,doubleFold
223,10.155,8.703,0.015986,0.014588,,4.305,26.9,48.7,1.81,9.38,30.1,3.0
224,30.074,27.7,0.043556,0.065146,3031.0,4.69,20.8,41.7,2.002,7.93,25.4,10.0
225,26.948,27.444,0.039328,0.05321,3567.4,4.78,21.9,64.2,2.936,14.92,47.8,10.0
226,16.687,15.114,0.031498,0.0351,2768.1,4.445,25.8,55.7,2.161,11.62,37.2,3.0
227,22.582,21.058,0.03052,0.039486,,4.445,23.3,52.3,2.247,11.7,37.5,3.0
228,25.632,24.307,0.039076,0.04738,3342.4,4.695,29.6,77.1,2.604,11.05,35.4,2.0
229,12.44,10.094,0.014766,0.011928,,4.285,30.6,59.3,1.94,7.42,23.8,2.0
230,28.406,26.549,0.035912,0.048404,3513.7,4.415,26.6,89.6,3.371,10.89,34.9,2.0
231,21.438,20.276,0.03035,0.04034,3686.8,4.36,23.6,74.5,3.16,11.94,38.3,2.0
232,40.232,35.084,0.043626,0.066932,3253.3,4.52,32.0,75.4,2.353,14.17,45.4,2.0
233,40.722,35.71,0.0435,0.073252,3441.5,4.52,26.5,79.9,3.012,13.53,43.4,2.0
234,40.035,28.854,0.05877,0.12353,2453.9,4.395,49.2,108.5,2.203,18.11,58.1,10.0
235,34.006,27.218,0.040712,0.050282,3154.9,4.81,20.2,60.5,2.99,16.54,53.0,9.0
236,44.875,58.135,0.062648,0.10181,2734.2,5.6,38.5,126.2,3.275,14.4,46.2,10.0
237,41.787,32.939,0.05395,0.083764,2631.1,4.935,37.0,160.0,4.328,10.57,33.9,10.0
238,16.947,20.215,0.029972,0.03349,2817.4,4.67,23.5,126.0,5.363,14.34,46.0,5.0
239,38.336,20.955,0.037068,0.06136,2502.4,4.5,24.0,101.4,4.218,19.98,64.0,2.0
240,34.682,27.233,0.040526,0.056626,2969.5,4.66,25.9,59.7,2.301,17.5,56.1,4.0
241,25.876,23.065,0.039314,0.046528,2973.3,4.725,23.3,61.1,2.625,17.04,54.6,10.0
242,36.502,19.803,0.036446,0.051994,2565.8,4.46,23.0,119.1,5.178,22.4,71.8,2.0
243,28.752,24.109,0.035298,0.04715,2977.7,4.385,26.2,87.0,3.315,13.26,42.5,2.0
244,33.007,30.001,0.053202,0.076288,2176.7,6.43,50.7,128.4,2.533,7.68,24.6,10.0
245,37.858,31.089,0.05594,0.07706,1961.7,6.495,29.4,96.2,3.271,8.41,27.0,10.0
246,34.874,30.118,0.046286,0.067184,2037.9,4.79,24.9,66.0,2.647,22.66,72.6,8.0
247,34.421,26.104,0.045182,0.059586,1985.4,4.375,37.0,114.8,3.104,8.94,28.6,2.0
248,19.782,19.178,0.03045,0.038494,2342.5,4.455,23.9,55.0,2.301,15.66,50.2,6.0
249,39.024,25.338,0.04165,0.062202,2445.1,4.41,20.4,94.2,4.614,21.75,69.7,2.0
250,34.228,21.804,0.035276,0.056532,2690.4,4.26,29.9,97.7,3.268,17.33,55.5,2.0
251,48.581,26.634,0.04512,0.079506,2720.4,4.515,18.1,52.6,2.903,31.72,101.7,3.0
252,24.919,19.123,0.035084,0.04519,2800.4,4.375,21.9,69.6,3.173,19.65,63.0,2.0
253,29.654,30.328,0.03296,0.049622,3978.3,4.495,18.5,50.0,2.701,13.17,42.2,2.0
254,22.392,20.202,0.032156,0.038756,3198.5,4.405,26.9,63.5,2.357,11.39,36.5,2.0
255,13.196,15.559,0.023194,0.022154,2805.8,4.325,27.8,74.1,2.661,11.41,36.6,3.0
256,17.636,18.062,0.031114,0.037608,3040.0,4.305,27.6,63.1,2.286,10.47,33.6,8.0
257,23.976,21.266,0.03404,0.046984,2954.7,4.46,22.0,60.5,2.751,18.3,58.7,3.0
258,21.275,17.064,0.031794,0.03751,2278.5,4.705,24.3,63.6,2.616,15.69,50.3,10.0
259,15.647,13.851,0.029084,0.03156,2492.2,4.875,29.9,91.7,3.069,14.28,45.8,10.0
260,29.173,18.916,0.03644,0.051342,2244.2,4.92,29.1,77.5,2.66,11.34,36.4,10.0
261,18.573,12.447,0.02975,0.031696,1947.3,4.71,26.8,72.5,2.709,13.46,43.1,10.0
262,30.198,21.357,0.044616,0.059022,2388.8,5.035,27.6,68.3,2.479,23.7,76.0,10.0
263,19.073,29.908,0.033748,0.03822,3936.2,4.64,30.6,80.2,2.623,9.38,30.1,10.0
264,46.555,30.193,0.043964,0.080364,2981.7,6.29,24.2,69.2,2.863,19.05,61.1,6.0
265,34.48,24.727,0.040046,0.054214,2803.6,4.335,23.4,70.4,3.014,19.54,62.6,3.0
266,39.434,34.788,0.043924,0.062072,2877.7,4.74,25.6,88.0,3.436,16.43,52.7,10.0
267,18.347,14.385,0.025392,0.032354,2627.2,4.41,21.5,42.7,1.992,11.28,36.2,1.0
268,27.384,21.193,0.041154,0.052966,2351.1,4.78,27.1,56.5,2.081,14.18,45.5,1.0
269,25.124,34.014,0.04113,0.049,3573.2,5.805,29.6,108.3,3.658,11.66,37.4,10.0
270,33.694,46.859,0.044804,0.055654,4828.2,4.555,28.6,82.2,2.874,12.3,39.4,10.0
271,28.772,35.853,0.045516,0.057462,3764.3,4.585,25.9,73.0,2.814,16.53,53.0,10.0
272,21.101,25.727,0.037392,0.045404,2972.2,4.645,24.7,59.4,2.402,9.29,29.8,10.0
273,27.103,40.252,0.043248,0.05038,3721.9,4.66,23.3,68.2,2.929,12.96,41.5,10.0
274,19.397,28.607,0.034274,0.039826,4022.1,4.645,18.1,59.5,3.284,12.44,39.9,10.0
275,27.521,34.098,0.047316,0.052026,3265.3,5.055,26.8,74.5,2.781,16.06,51.5,10.0
276,30.218,36.729,0.03881,0.051296,3242.0,4.68,23.0,63.6,2.762,14.37,46.1,10.0
277,30.888,41.431,0.052544,0.057362,3696.1,4.885,41.7,131.2,3.143,12.64,40.5,10.0
278,27.062,40.119,0.03748,0.04613,3670.1,6.08,29.1,105.2,3.621,13.96,44.7,10.0
279,23.763,28.876,0.031986,0.037758,3459.5,4.83,24.9,79.0,3.176,15.87,50.8,8.0
280,43.548,46.05,0.04238,0.072242,3293.8,4.72,26.0,87.9,3.385,17.31,55.5,10.0
281,38.484,38.204,0.046962,0.074054,2976.1,4.82,31.9,106.8,3.353,13.56,43.5,10.0
282,41.248,39.921,0.05414,0.088962,2588.6,5.33,28.4,122.0,4.301,20.82,66.7,10.0
283,23.255,26.203,0.041602,0.04682,3136.0,4.65,25.3,101.8,4.025,12.68,40.6,10.0
284,20.907,21.823,0.037452,0.047632,2649.2,4.93,29.0,68.1,2.352,13.58,43.5,10.0
285,32.015,22.192,0.041092,0.061666,1797.0,4.5,20.5,70.9,3.461,22.81,73.1,4.0
286,35.015,29.885,0.042672,0.059314,2946.5,4.63,22.8,65.8,2.892,23.13,74.1,4.0
287,35.415,30.075,0.052424,0.080532,3378.8,4.685,39.6,83.4,2.107,17.03,54.6,10.0
288,30.118,27.472,0.04742,0.06487,2971.0,4.635,51.6,87.2,1.691,7.72,24.7,10.0
289,25.307,19.231,0.044908,0.056224,2100.6,4.66,26.9,54.6,2.033,12.58,40.3,10.0
290,26.394,20.593,0.03851,0.05441,2458.7,4.555,34.5,60.3,1.746,10.64,34.1,10.0
291,32.58,29.358,0.045138,0.068788,3361.3,4.65,34.2,64.4,1.885,13.01,41.7,10.0
292,76.11,63.603,0.11195,0.30318,2691.0,6.43,67.9,823.5,12.122,15.05,48.2,10.0
293,24.239,23.09,0.048692,0.059286,2178.0,4.83,38.7,78.4,2.024,13.24,42.4,10.0
294,24.712,22.662,0.046946,0.05523,1977.9,4.68,48.5,78.7,1.62,8.51,27.3,10.0
295,24.33,21.959,0.041364,0.059696,2053.0,4.68,36.3,72.3,1.993,14.47,46.4,10.0
296,17.197,18.726,0.036314,0.040734,,4.55,29.7,58.4,1.97,11.76,37.7,10.0
297,27.113,21.331,0.046892,0.059184,2434.0,4.62,41.3,70.2,1.7,13.24,42.4,10.0
298,45.073,34.992,0.054118,0.096734,2993.0,5.03,41.1,78.9,1.919,16.24,52.1,10.0
299,37.678,33.226,0.052722,0.086254,2811.7,5.0,36.8,75.4,2.046,12.39,39.7,10.0
300,26.026,21.001,0.035402,0.050792,3047.5,4.75,19.6,51.4,2.629,16.83,53.9,3.0
301,34.001,33.672,0.042516,0.074462,3628.4,4.765,29.5,74.2,2.519,17.47,56.0,10.0
302,32.035,30.048,0.053134,0.072858,2917.5,5.045,52.9,90.4,1.707,10.17,32.6,10.0
303,22.248,21.685,0.039526,0.04623,3025.1,4.68,22.9,56.9,2.489,15.44,49.5,10.0
304,32.695,30.794,0.03987,0.064576,3318.0,4.69,32.0,63.8,1.996,14.68,47.0,10.0
305,18.275,24.028,0.037098,0.042472,3401.6,5.127,42.1,84.0,1.994,9.85,31.6,10.0
306,20.117,23.337,0.037076,0.044026,3053.2,5.4,30.3,52.0,1.717,7.1,22.7,10.0
307,30.335,23.88,0.067412,0.096212,1921.1,6.325,46.5,122.5,2.632,13.1,42.0,10.0
308,40.543,28.753,0.057548,0.10014,2719.7,5.36,23.0,74.0,3.216,29.56,94.8,10.0
309,27.255,20.372,0.056602,0.071172,1800.3,5.55,64.0,136.1,2.127,14.07,45.1,10.0
310,36.282,24.119,0.072392,0.11326,1892.2,5.97,69.3,132.4,1.91,11.49,36.8,10.0
311,18.094,12.593,0.03574,0.046368,1608.5,4.75,35.3,67.7,1.918,11.63,37.3,10.0
312,29.017,20.728,0.052708,0.075094,2195.9,6.57,48.8,88.9,1.822,11.55,37.0,10.0
313,52.92,30.725,0.058484,0.13209,1959.2,4.985,33.3,74.3,2.228,23.74,76.1,10.0
314,24.107,22.091,0.047908,0.058312,2705.3,5.315,36.1,73.3,2.031,14.62,46.9,10.0
315,13.675,10.581,0.022752,0.024398,2187.8,4.7,26.3,52.5,1.995,13.26,42.5,10.0
316,29.924,22.2,0.051022,0.065336,2406.0,4.8,64.1,104.2,1.626,8.06,25.8,10.0
317,16.396,14.869,0.033252,0.035934,2475.8,4.505,34.1,53.0,1.552,7.5,24.0,6.0
318,17.84,13.391,0.035892,0.044542,2061.1,4.82,40.5,64.5,1.593,7.46,23.9,10.0
319,28.522,18.496,0.042014,0.05753,2455.1,4.335,26.7,49.0,1.834,12.77,40.9,10.0
320,18.407,16.119,0.03588,0.043704,1816.3,4.69,21.5,60.5,2.817,6.6,21.2,6.0
321,30.155,32.717,0.055644,0.07626,2883.1,5.265,31.7,70.1,2.21,14.06,45.1,10.0
322,21.255,19.485,0.032992,0.043106,2903.8,4.915,20.9,53.5,2.562,12.38,39.7,6.0
323,14.34,19.471,0.026522,0.02513,2081.4,4.785,26.6,64.3,2.42,12.09,38.7,10.0
324,21.668,16.128,0.028224,0.03965,3178.1,4.6,21.6,43.4,2.006,20.43,65.5,1.0
325,20.257,15.62,0.02838,0.039738,3252.6,4.61,20.2,41.3,2.043,16.84,54.0,1.0
326,19.292,17.618,0.033346,0.039096,2558.6,4.635,22.0,57.6,2.622,17.83,57.1,4.0
327,20.721,13.499,0.033108,0.042806,1975.7,4.59,24.2,48.8,2.017,17.88,57.3,2.0
328,27.737,23.363,0.046498,0.05789,2482.7,4.575,17.2,45.4,2.638,14.83,47.5,9.0
329,26.914,23.276,0.045028,0.057146,2537.3,4.495,37.4,62.7,1.679,9.71,31.1,10.0
330,19.216,12.144,0.024478,0.03536,2468.1,4.165,21.7,54.9,2.525,11.32,36.3,1.0
331,28.557,29.465,0.044442,0.060354,2949.1,4.755,32.6,69.2,2.124,13.91,44.6,7.0
332,10.037,12.033,0.009222,0.004066,,4.365,20.7,53.0,2.553,9.0,28.8,7.0
333,19.918,18.04,0.03444,0.043046,3147.8,4.5,23.4,60.1,2.564,14.03,45.0,2.0
334,21.086,20.198,0.041202,0.045526,4075.4,4.73,23.0,61.2,2.657,18.69,59.9,10.0
335,26.074,18.32,0.028386,0.040472,3397.7,4.26,16.7,41.1,2.465,25.53,81.8,1.0
336,30.83,20.056,0.042572,0.056166,2336.0,4.865,40.2,92.5,2.298,7.34,23.5,10.0
337,27.828,26.39,0.04401,0.065268,3278.1,5.05,42.1,139.6,3.314,12.7,40.7,10.0
338,28.592,17.282,0.0398,0.057496,3094.0,4.585,18.9,44.1,2.335,19.77,63.4,2.0
339,48.428,31.549,0.05336,0.087352,3521.3,4.8,24.2,65.6,2.715,26.79,85.9,10.0
340,27.297,26.301,0.04221,0.05624,3782.9,4.785,21.6,57.6,2.668,22.93,73.5,7.0
341,29.252,24.502,0.040642,0.055322,3143.6,5.095,36.4,86.1,2.367,11.93,38.2,10.0
342,21.158,22.676,0.03374,0.047408,2891.3,4.685,22.9,48.8,2.131,15.57,49.9,2.0
343,15.668,13.491,0.028994,0.033686,,4.59,22.8,49.0,2.148,7.77,24.9,9.0
344,28.432,28.051,0.04131,0.060388,2644.9,4.725,24.6,56.1,2.284,18.32,58.7,10.0
345,32.698,38.304,0.044012,0.054086,3966.4,4.995,29.1,69.9,2.401,13.7,43.9,10.0
346,24.433,27.759,0.037112,0.043434,3600.2,4.605,21.2,52.0,2.449,12.72,40.8,10.0
347,35.081,30.962,0.05185,0.069862,3084.4,5.24,31.1,82.8,2.664,17.91,57.4,10.0
348,18.76,15.601,0.036802,0.043458,1707.3,4.51,39.3,71.0,1.804,7.24,23.2,10.0
349,24.613,21.927,0.038446,0.052618,2568.8,4.59,38.6,67.0,1.736,8.99,28.8,10.0
350,24.26,23.321,0.039634,0.050136,2335.9,4.78,29.1,67.8,2.326,6.89,22.1,10.0
351,13.091,10.172,0.01493,0.012654,,4.435,43.1,60.2,1.398,1.58,5.1,10.0
352,26.167,20.904,0.032006,0.044012,3644.5,4.47,22.9,51.5,2.25,11.94,38.3,2.0
353,30.3,25.647,0.038848,0.05621,3139.7,4.595,24.6,88.1,3.575,12.51,40.1,2.0
354,29.445,25.705,0.038938,0.05764,3383.8,4.555,31.5,59.6,1.893,6.7,21.5,2.0
355,30.263,28.663,0.03843,0.054114,3903.6,4.565,24.1,59.3,2.458,10.89,34.9,2.0
356,43.12,40.556,0.04653,0.0839,4275.3,4.755,31.6,82.1,2.598,13.38,42.9,2.0
357,25.174,21.944,0.031868,0.042792,3479.7,4.515,17.7,52.0,2.931,18.43,59.1,2.0
358,29.669,22.242,0.055212,0.082878,1831.3,4.755,41.1,178.2,4.333,13.85,44.4,10.0
359,14.075,16.538,0.02279,0.020964,2111.1,4.645,26.7,97.6,3.657,10.13,32.5,2.0
360,32.508,25.895,0.046278,0.0705,3098.7,4.6,31.6,102.5,3.244,10.28,32.9,2.0
361,32.308,18.151,0.04391,0.070358,1898.5,4.67,27.8,132.0,4.757,21.16,67.8,3.0
362,20.177,19.096,0.033852,0.04287,2519.7,4.515,34.0,75.0,2.206,9.95,31.9,2.0
363,21.326,20.306,0.0325,0.043382,3441.9,4.495,22.0,85.9,3.901,14.4,46.1,2.0
364,35.916,30.646,0.060434,0.08502,1702.4,7.06,48.9,132.3,2.707,9.43,30.2,10.0
365,34.263,30.034,0.054022,0.081432,1622.5,6.375,31.7,105.9,3.337,9.02,28.9,10.0
366,40.289,31.777,0.047956,0.079524,2783.6,4.79,18.2,57.8,3.185,20.42,65.4,2.0
367,38.46,23.579,0.044498,0.064798,2367.8,4.53,25.7,131.1,5.099,18.29,58.6,2.0
368,23.806,23.303,0.033306,0.046316,3150.3,4.525,19.8,48.8,2.461,13.83,44.3,2.0
369,23.167,22.945,0.029104,0.040714,3812.4,4.58,22.1,59.7,2.702,13.27,42.5,2.0
370,35.058,33.717,0.052466,0.07248,3120.6,4.87,54.9,153.3,2.79,6.52,20.9,10.0
371,33.776,28.592,0.042734,0.060988,3554.7,4.59,22.4,50.8,2.265,17.04,54.6,2.0
372,28.384,28.179,0.0462,0.057016,2698.8,4.8,31.3,69.1,2.208,15.21,48.8,10.0
373,27.97,27.584,0.04269,0.057202,2730.0,4.745,36.7,72.9,1.986,15.95,51.1,10.0
374,32.913,26.448,0.048112,0.065984,2885.8,4.75,50.3,91.0,1.807,15.27,48.9,10.0
375,17.399,13.116,0.045664,0.052128,2184.8,4.5,48.1,82.2,1.708,12.3,39.4,7.0
376,19.671,15.596,0.034624,0.041122,2631.9,4.46,47.2,82.6,1.751,11.04,35.4,4.0
377,24.432,21.551,0.033014,0.043464,3942.6,4.68,35.1,68.5,1.949,12.83,41.1,2.0
378,32.579,29.157,0.085394,0.11459,2022.5,7.273,105.7,222.4,2.105,13.3,42.6,10.0
379,29.835,25.284,0.043194,0.056972,3697.7,4.67,52.3,92.4,1.768,13.09,41.9,3.0
380,37.526,27.917,0.06663,0.10488,2616.8,5.18,108.5,231.5,2.134,16.45,52.7,10.0
381,19.172,17.203,0.035392,0.041436,2985.8,4.57,58.7,90.5,1.543,8.04,25.8,5.0
382,21.478,21.182,0.038058,0.04434,2758.1,4.655,52.8,87.0,1.648,11.15,35.7,6.0
383,18.303,10.544,0.046992,0.056782,1504.6,4.545,30.1,71.9,2.391,11.4,36.5,3.0
384,22.953,22.241,0.047146,0.054626,2520.4,4.725,31.6,78.6,2.489,18.85,60.4,10.0
385,18.65,15.519,0.04125,0.047124,1524.9,4.6,38.6,86.2,2.23,14.19,45.5,10.0
386,26.254,21.48,0.04195,0.054038,1544.1,4.73,35.2,64.0,1.821,15.38,49.3,10.0
387,33.027,31.211,0.04471,0.066334,2850.1,4.86,48.5,81.6,1.684,12.07,38.7,10.0
388,37.917,32.298,0.05403,0.08463,2467.0,4.9,55.9,94.6,1.692,15.12,48.5,10.0
389,26.496,22.141,0.033734,0.049114,2294.2,4.945,45.9,80.2,1.749,14.27,45.7,2.0
390,29.639,25.387,0.03525,0.05345,2703.7,4.665,30.7,93.9,3.057,19.21,61.6,8.0
391,25.724,24.329,0.03822,0.053332,3072.6,4.855,58.1,89.0,1.531,8.88,28.4,6.0
392,27.01,23.951,0.029098,0.045542,3006.0,4.635,39.7,81.9,2.062,14.63,46.9,4.0
393,22.954,28.838,0.03832,0.048848,2843.0,5.87,17.6,69.1,3.928,10.86,34.8,10.0
394,19.551,24.499,0.034308,0.042182,3014.8,5.64,50.0,83.9,1.679,7.37,23.6,10.0
395,32.559,28.221,0.053628,0.081406,2645.1,4.845,66.8,119.4,1.788,12.86,41.2,10.0
396,31.522,27.869,0.05854,0.087228,1906.7,4.925,77.4,128.8,1.664,8.54,27.4,10.0
397,32.963,32.202,0.057012,0.094048,1593.7,4.88,77.0,138.2,1.794,11.56,37.0,10.0
398,31.2,21.744,0.04468,0.070916,1336.3,4.73,50.8,88.4,1.741,14.65,47.0,10.0
399,33.653,25.935,0.042484,0.075294,1946.5,4.78,36.3,83.5,2.302,18.31,58.7,10.0
400,37.433,24.589,0.049566,0.073408,2344.0,7.123,47.5,108.2,2.275,17.41,55.8,10.0
401,25.812,20.191,0.035772,0.053164,2568.8,5.525,46.3,109.3,2.358,17.32,55.5,10.0
402,37.173,26.783,0.039666,0.075654,3196.5,5.22,41.8,95.7,2.291,10.67,34.2,10.0
403,15.959,12.033,0.036452,0.035824,1541.6,7.44,71.5,191.6,2.682,10.69,34.3,10.0
404,32.608,28.346,0.038666,0.068168,2911.3,4.77,38.8,87.1,2.243,11.32,36.3,10.0
405,26.572,20.254,0.04338,0.061984,2074.1,5.89,61.4,102.2,1.665,10.5,33.6,10.0
406,49.36,28.661,0.054618,0.11795,2724.0,4.965,50.3,103.2,2.051,19.93,63.9,10.0
407,25.798,21.073,0.048952,0.067078,2472.3,5.515,55.2,103.8,1.88,10.67,34.2,10.0
408,27.319,20.87,0.044536,0.070356,2008.3,5.79,39.1,73.7,1.886,10.26,32.9,10.0
409,24.344,18.46,0.05285,0.066704,1433.4,6.195,60.4,90.5,1.498,7.26,23.3,10.0
410,17.904,16.194,0.03902,0.04727,1722.3,4.615,31.9,65.6,2.058,12.93,41.4,10.0
411,33.791,24.5,0.046252,0.077058,2823.3,5.14,61.2,115.3,1.886,14.74,47.3,10.0
412,26.76,22.819,0.048,0.062684,1795.4,4.57,29.7,78.0,2.629,17.52,56.2,10.0
413,26.027,20.261,0.05444,0.06731,1251.3,4.57,48.5,86.8,1.789,13.34,42.8,10.0
414,33.717,21.017,0.053888,0.075328,2029.9,4.645,45.5,100.9,2.218,11.27,36.1,10.0
415,35.081,32.62,0.068496,0.12362,2887.3,5.025,57.4,110.5,1.926,17.45,55.9,10.0
416,30.124,32.402,0.048284,0.068278,2830.2,4.94,42.3,92.7,2.19,18.69,59.9,10.0
417,29.744,30.356,0.044986,0.06146,2984.4,4.84,54.1,95.3,1.761,13.27,42.5,10.0
418,17.449,16.266,0.026978,0.032726,2875.6,4.25,42.6,76.5,1.795,10.41,33.4,2.0
419,26.72,22.131,0.046138,0.062226,2426.9,4.88,37.7,93.3,2.471,19.21,61.6,10.0
420,14.871,16.457,0.026224,0.027218,2462.2,4.61,27.2,69.3,2.551,14.93,47.9,10.0
421,13.443,14.712,0.028264,0.02431,1746.9,4.55,46.4,76.4,1.647,10.67,34.2,10.0
422,13.921,15.502,0.02296,0.018606,1886.5,4.66,38.3,68.4,1.788,9.15,29.3,10.0
423,12.161,14.067,0.01786,0.010482,,4.56,45.0,76.5,1.701,8.27,26.5,10.0
424,25.447,20.038,0.050472,0.063618,2603.4,4.5,33.5,79.0,2.359,20.8,66.7,6.0
425,41.498,34.306,0.042476,0.069514,2882.3,4.585,41.8,80.2,1.918,20.56,65.9,2.0
426,30.719,21.42,0.03548,0.054628,3270.9,4.6,32.7,70.8,2.165,19.44,62.3,2.0
427,31.611,21.83,0.03504,0.050892,2861.0,4.64,39.1,75.4,1.925,12.36,39.6,2.0
428,66.97,72.637,0.12023,0.21496,3104.0,9.165,96.1,646.7,6.727,6.61,21.2,10.0
429,28.548,19.525,0.039082,0.060952,2115.7,4.76,38.5,77.3,2.011,18.95,60.7,2.0
430,32.013,28.8,0.041296,0.06433,2473.7,4.805,51.6,92.5,1.794,12.18,39.0,10.0
431,27.532,26.768,0.043666,0.05751,2747.6,4.695,52.5,95.7,1.821,14.2,45.5,10.0
432,33.836,31.736,0.05325,0.082162,1746.6,4.78,72.5,117.0,1.613,7.59,24.3,10.0
433,32.148,30.236,0.055242,0.075186,1599.7,4.67,47.4,88.3,1.863,12.03,38.5,10.0
434,28.038,23.41,0.046284,0.057368,1569.3,4.665,59.0,87.3,1.479,6.53,20.9,10.0
435,28.927,28.202,0.055118,0.07179,1582.7,4.74,45.9,85.2,1.854,9.01,28.9,10.0
436,46.433,34.912,0.062042,0.10985,1796.9,4.935,50.0,215.0,4.301,18.46,59.2,10.0
437,35.314,24.098,0.057714,0.09086,1977.7,5.205,60.5,114.6,1.892,15.85,50.8,10.0
438,39.099,32.158,0.049978,0.08261,2119.2,4.905,31.0,80.3,2.591,26.28,84.2,2.0
439,38.908,27.165,0.048338,0.078352,2288.4,4.46,31.8,126.4,3.975,18.25,58.5,2.0
440,24.074,30.01,0.053164,0.060194,1492.3,4.74,64.1,102.4,1.597,6.35,20.4,10.0
441,13.769,16.657,0.023972,0.018602,2245.0,4.415,22.8,53.6,2.352,6.34,20.3,10.0
442,21.75,20.021,0.04767,0.0554,1684.6,4.635,30.7,82.1,2.677,14.43,46.3,8.0
443,35.574,28.641,0.060648,0.075214,3216.4,4.975,43.8,104.5,2.385,15.03,48.2,10.0
444,33.507,28.252,0.049632,0.070488,1805.8,4.905,35.2,97.2,2.761,17.39,55.7,10.0
445,20.386,18.671,0.036142,0.046164,2057.8,4.625,31.5,78.9,2.501,20.45,65.6,10.0
446,41.62,30.413,0.044576,0.07794,3219.5,4.63,30.3,78.0,2.573,27.61,88.5,2.0
