,doubleFold,pH,sec_Mn,sec_Mw,sec_polydispersity,tens_energyAbsorp_avg,tens_maxLoad_avg,tens_strainMaxLoad_avg,tens_stressMaxLoad_avg,tens_thickness_avg,tens_youngsMod_avg
9,10.0,5.065,44.1,127.6,2.89,0.068927,28.15941883,0.0466165,23.10210617,0.11895,1960.082957
10,10.0,4.83,35.9,85.4,2.377,0.02022,11.903608,0.026067,9.019922,0.1322,1248.737847
11,10.0,5.206666667,20.1,93.4,4.653,0.031948667,15.5551335,0.032684667,12.2333775,0.126433333,1815.875375
12,10.0,5.165,29.5,91.2,3.094,0.052825,22.858836,0.040784,18.063687,0.1216,1908.392582
13,10.0,6.405,76.8,161.6,2.105,0.034338,11.970791,0.041122,12.906413,0.0929,1350.469421
14,10.0,4.96,33.5,122.7,3.667,0.034818333,15.6554545,0.034025833,14.03782717,0.11175,1799.169816
15,10.0,5.066666667,58.6,107.2,1.829,0.044154,19.683749,0.035759,18.569329,0.1057,1804.103673
16,10.0,5.265,48.9,105.0,2.148,0.036642,17.351538,0.03202,14.885181,0.1164,1757.937131
17,10.0,4.89,55.9,124.9,2.236,0.030473833,16.99944333,0.029259333,14.01715433,0.121383333,1358.288015
18,10.0,5.12,26.6,53.2,1.996,0.021821667,14.37959567,0.0242785,10.79537083,0.133266667,1317.109508
19,2.0,4.7,18.6,67.9,3.652,0.016511333,13.1656585,0.020462667,10.52027767,0.12635,1608.300717
20,10.0,4.78,20.0,102.4,5.111,0.036754167,19.35036117,0.0317535,18.30503733,0.10615,1927.350347
21,10.0,4.93,19.4,81.6,4.212,0.035783333,20.53483333,0.029068333,19.38138083,0.10625,2018.335268
22,10.0,5.165,23.0,80.2,3.495,0.050789667,20.34397733,0.0424445,19.78975467,0.10285,1879.23374
23,10.0,6.2,27.4,108.5,3.959,0.043221667,18.9455205,0.037926833,22.360334,0.0848,2420.467094
24,10.0,5.105,45.5,87.9,1.933,0.0563385,24.55979467,0.039205833,17.76782383,0.13895,1539.124455
25,10.0,5.01,26.6,85.0,3.199,0.025933333,13.06483117,0.0281565,8.905317,0.148783333,1050.503726
26,10.0,4.94,21.4,62.4,2.917,0.028503,16.969083,0.03118,11.189125,0.1516,1001.762638
27,10.0,5.785,24.5,79.0,3.226,0.025131,14.944611,0.02983,12.626048,0.1183,1354.950293
28,10.0,5.85,22.3,49.2,2.208,0.028495,14.689962,0.033717,12.037483,0.122,1268.494015
29,10.0,4.995,29.9,76.2,2.545,0.038057167,17.82787233,0.033119833,12.48027217,0.141716667,1484.972643
30,2.0,4.79,22.2,49.3,2.223,0.028455833,16.84687233,0.025586333,13.23538733,0.12855,2026.845379
31,9.0,5.065,35.8,82.2,2.296,0.0272915,16.3379415,0.026539167,16.16088,0.1012,2170.909749
32,10.0,4.885,32.5,79.6,2.45,0.022972167,15.18174533,0.024483,14.3920315,0.10575,1697.40438
33,2.0,4.23,20.1,48.0,2.387,0.006953,9.409327167,0.011560833,8.731719833,0.107916667,2250.03903
34,10.0,4.675,31.5,82.7,2.623,0.005048,6.583227,0.012518,7.938067,0.083,1902.396629
35,6.0,4.705,22.7,68.6,3.021,0.042031,17.81095717,0.038412333,14.687228,0.121316667,1757.422744
36,10.0,4.68,35.1,94.2,2.681,0.044255,23.36892,0.035669,19.316906,0.1213,1879.490692
37,10.0,5.47,31.8,220.4,6.933,0.116787,41.393988,0.056016,26.381385,0.1565,1209.277422
38,2.0,4.88,19.8,72.5,3.656,0.054596,25.139623,0.038674,18.006528,0.1397,1751.749938
39,2.0,4.335,26.3,239.2,9.093,0.041014,23.643988,0.032962,15.847886,0.1492,1615.850684
40,10.0,4.595,31.2,75.4,2.414,0.042172,18.070224,0.038421,14.42027,0.1259,1546.148225
41,4.0,4.56,21.4,55.4,2.586,0.023117,13.716328,0.025493,11.733698,0.1162,1622.65099
42,10.0,4.87,28.4,69.2,2.435,0.042639167,22.7730065,0.036665833,14.254137,0.159283333,1198.85116
43,10.0,5.055,46.2,123.9,2.679,0.029797,13.994778,0.033727,12.883972,0.109,1246.067742
44,10.0,4.915,20.5,85.2,4.151,0.063264,34.000369,0.042468,20.943591,0.1616,1513.193742
45,10.0,4.825,13.0,48.5,3.736,0.03919,19.289093,0.036429,17.428767,0.1106,1747.962464
46,10.0,4.79,31.9,127.4,3.996,0.027658,16.180635,0.030632,13.689803,0.1165,1284.171845
47,5.0,4.61,14.2,59.8,4.212,0.026309,15.166265,0.030831,11.313754,0.1345,1187.833405
48,4.0,4.53,13.7,44.4,3.244,0.015574,12.55794367,0.021303667,13.90176867,0.090066667,1739.89188
49,6.0,7.92,26.1,52.7,2.023,0.017059,10.483208,0.025633,7.911518,0.1328,988.6637765
50,10.0,4.76,36.0,78.7,2.184,0.043327,19.283473,0.042937,17.156253,0.1127,1309.465258
51,4.0,4.61,34.3,67.2,1.959,0.018846,13.216193,0.025834,15.390699,0.0853,1479.87403
52,2.0,4.83,20.5,57.3,2.797,0.022450167,17.399994,0.027024333,14.17274867,0.122966667,1417.28248
53,7.0,4.7,25.0,102.4,4.087,0.051416,23.921311,0.040867,20.961189,0.1144,1766.547631
54,8.0,5.08,37.0,128.7,3.477,0.051532,24.949699,0.043897,27.292163,0.0913,1755.449326
55,6.0,4.96,48.0,201.1,4.193,0.062519,27.996288,0.045018,22.326908,0.1254,1643.698474
56,10.0,4.605,19.4,112.6,5.816,0.026992,12.967707,0.031678,15.620971,0.0831,1761.828808
57,2.0,4.495,28.9,127.8,4.429,0.0384615,22.77063933,0.0350775,12.5196075,0.181866667,1133.064133
58,6.0,4.545,28.1,112.5,4.004,0.036972,19.276313,0.036047,17.712725,0.1094,1583.318542
59,10.0,7.125,25.5,159.4,6.256,0.068114,24.639707,0.05199,24.841262,0.0992,1584.035424
60,9.0,4.92,30.4,105.4,3.465,0.041005,21.140943,0.03797,16.847708,0.1222,1461.769096
61,4.0,4.72,25.9,152.9,5.911,0.05964,24.094676,0.042343,21.069627,0.1145,2165.638845
62,5.0,4.725,17.2,59.6,3.46,0.025435,15.771284,0.026055,14.89614,0.1064,2010.383298
63,3.0,4.68,17.6,47.2,2.689,0.035775833,21.78403733,0.032551,15.402039,0.1413,1617.078486
64,2.0,4.62,16.1,43.1,2.678,0.0301315,16.2622185,0.030834333,10.82215467,0.151916667,1259.580369
65,2.0,4.53,26.2,64.0,2.446,0.030893,15.725856,0.03342,11.063321,0.1422,1369.896741
66,7.0,4.695,19.1,83.2,4.359,0.039583,19.907804,0.035689,22.129728,0.0901,2130.165689
67,10.0,4.66,33.8,159.7,4.725,0.032997,15.461726,0.036786,17.031729,0.0902,1587.59449
68,10.0,5.255,29.3,87.8,3.001,0.040553,17.393895,0.042327,13.870588,0.1256,1166.742121
69,10.0,5.38,34.4,78.9,2.289,0.031215,14.647156,0.034961,12.013381,0.1219,1183.165416
70,10.0,5.085,13.2,50.5,3.815,0.025623,12.795486,0.034047,8.844153,0.1446,786.532908
71,10.0,4.555,30.4,62.8,2.069,0.024661667,13.24034433,0.030244,8.8505965,0.149366667,1002.495524
72,3.0,4.74,19.7,52.9,2.686,0.022796,14.221132,0.026708,12.185169,0.1172,1376.076264
73,2.0,4.375,30.7,59.4,1.936,0.038776,23.634766,0.034301,16.553387,0.1428,1301.562675
74,10.0,4.695,46.9,98.6,2.103,0.036325,16.139087,0.03721,17.66288,0.0916,1680.568319
75,3.0,4.925,13.5,52.4,3.867,0.03471,20.701478,0.032244,12.983191,0.1594,1191.207522
76,10.0,4.79,14.4,43.9,3.041,0.034888,21.413929,0.035011,18.159887,0.117,1670.554788
77,2.0,4.635,15.8,74.0,4.682,0.025651833,18.54091067,0.028068667,11.07303283,0.1673,1288.952654
78,10.0,4.97,22.0,70.1,3.195,0.036611,21.050255,0.033166,17.304157,0.1213,1444.500942
79,10.0,4.55,20.8,58.7,2.818,0.046845,23.064999,0.036315,22.296925,0.1039,2676.573361
80,10.0,5.065,16.8,66.7,3.965,0.031152,16.381048,0.031883,14.098655,0.1161,1610.136024
81,10.0,4.51,18.6,47.9,2.577,0.024695333,14.410345,0.031627167,11.107024,0.1298,1167.393458
82,10.0,4.535,31.1,95.1,3.061,0.025335,16.533513,0.026098,15.764022,0.1087,2184.183331
83,3.0,4.445,23.5,71.7,3.056,0.018912,11.339049,0.022477,10.027436,0.1133,1537.640155
84,10.0,4.65,38.3,86.4,2.257,0.036976,18.288875,0.035051,16.876273,0.1083,1818.648652
85,10.0,4.795,52.3,80.5,1.541,0.064909,23.726904,0.048154,20.927189,0.1155,1590.492786
86,10.0,4.745,42.3,89.6,2.119,0.055193,21.626627,0.049654,19.163888,0.1129,1440.35853
87,10.0,5.8,63.6,192.3,3.024,0.021374,9.684257,0.03036,8.146525,0.119,758.056252
88,10.0,5.175,50.7,111.2,2.194,0.028198,12.363926,0.03217,8.743631,0.1416,888.212675
89,10.0,6.61,46.5,100.1,2.152,0.04473,18.646291,0.042338,13.467862,0.1385,917.483869
90,10.0,7.32,44.8,121.2,2.704,0.023405,11.817486,0.03315,9.881506,0.1194,1081.873257
91,10.0,6.21,37.7,80.8,2.144,0.041343,21.309106,0.031769,16.771649,0.1269,1912.633365
92,10.0,5.5,22.5,55.8,2.479,0.026347,14.616799,0.031941,11.77021,0.1243,1146.346032
93,10.0,4.665,35.2,69.2,1.965,0.025617,14.77489,0.030392,10.990461,0.1342,927.6325138
94,2.0,4.42,21.2,42.9,2.024,0.0182375,12.7242495,0.023516333,13.19643067,0.096716667,1531.898128
95,10.0,4.505,34.6,73.5,2.125,0.020047,11.28191,0.02524,12.934723,0.0873,1341.638524
96,8.0,4.44,31.6,59.3,1.877,0.019981,11.765016,0.026173,7.719455,0.1488,854.146693
97,10.0,4.66,37.9,73.5,1.942,0.035683,18.349928,0.035327,16.224864,0.1124,1435.625382
98,10.0,4.64,48.4,113.8,2.349,0.046099,21.255334,0.042122,20.194775,0.1032,1142.898353
99,10.0,4.64,29.6,62.7,2.12,0.049954,22.293753,0.04472,20.416634,0.1075,1519.479553
100,10.0,4.6,38.4,90.8,2.364,0.057556,24.877433,0.041461,18.980074,0.1296,1605.936916
101,10.0,4.68,44.9,76.3,1.699,0.047869,19.695868,0.04394,17.366751,0.1097,1564.834255
102,10.0,4.99,25.4,80.1,3.153,0.060474,28.442037,0.044428,20.836877,0.134,1359.557563
103,2.0,4.26,28.4,131.2,4.614,0.028710167,16.5662165,0.03142,12.120097,0.13305,1372.266336
104,3.0,4.44,33.7,88.4,2.62,0.035351,17.179722,0.034117,14.217963,0.1205,1510.917603
105,9.0,4.565,28.7,85.4,2.978,0.036075,15.641287,0.038183,14.227843,0.1042,1461.742098
106,10.0,4.86,39.0,115.7,2.965,0.042312,21.160528,0.038375,15.601724,0.1277,1287.383305
107,10.0,4.865,19.9,69.8,3.51,0.026155,16.599421,0.0282,14.753067,0.1049,1377.962662
108,8.0,4.71,20.1,80.5,3.996,0.041636,21.870441,0.037496,19.377749,0.1128,1593.091277
109,3.0,4.55,19.8,61.5,3.101,0.034967,20.580631,0.034275,14.915603,0.1301,1376.792039
110,7.0,5.0,25.1,86.9,3.465,0.037523,20.838303,0.036605,16.912833,0.1184,1438.16392
111,9.0,4.4,23.4,51.4,2.194,0.027496,15.70343,0.030598,17.723863,0.0876,1737.220688
112,2.0,4.35,27.1,63.7,2.352,0.012826,9.588868,0.01984,7.596726,0.1242,1569.37515
113,10.0,4.635,27.0,84.7,3.137,0.041345,17.806431,0.03989,18.867454,0.092,1996.626404
114,6.0,4.625,23.7,61.9,2.613,0.040722,19.586232,0.040362,19.595474,0.1,1650.824699
115,2.0,4.48,16.2,57.8,3.567,0.026221,17.937571,0.030604,15.536871,0.1137,1705.902066
116,3.0,4.51,26.7,77.6,2.906,0.042982,22.84928,0.039831,20.224885,0.1092,1482.455124
117,3.0,4.62,31.5,87.3,2.772,0.052699,24.685432,0.044731,21.714986,0.1109,1824.508131
118,10.0,4.25,45.9,96.4,2.102,0.069707,29.451864,0.048792,20.003807,0.1405,1081.921453
119,10.0,5.26,39.0,140.5,3.604,0.070289,27.101955,0.044302,38.908344,0.0696,3135.24772
120,2.0,4.425,37.3,165.5,4.44,0.085105,48.875835,0.037778,25.412279,0.1863,2477.745345
121,3.0,4.42,31.1,136.1,4.373,0.012833,13.765917,0.016597,16.571237,0.0797,2264.145168
122,7.0,4.45,29.9,110.3,3.693,0.048456,23.829724,0.03533,22.979066,0.0975,2653.28578
123,3.0,4.415,36.0,180.5,5.012,0.040032,25.110281,0.027592,25.078118,0.0962,3109.594992
124,10.0,6.87,45.8,197.2,4.31,0.066441,25.932093,0.042721,25.656347,0.0949,2896.031158
125,10.0,6.775,43.0,172.2,4.004,0.097171,34.944049,0.048775,27.694831,0.1272,2525.092104
126,3.0,4.455,29.7,105.0,3.537,0.05338,30.694576,0.033292,24.402556,0.1223,2753.315924
127,2.0,4.425,33.2,173.4,5.222,0.068023,36.528061,0.038753,19.226224,0.1783,2303.980994
128,8.0,4.565,21.0,59.3,2.827,0.02981,17.169674,0.026225,15.939183,0.1058,2630.679931
129,4.0,4.48,22.5,66.9,2.974,0.064462,34.601114,0.040745,22.767396,0.1475,2070.570673
130,2.0,4.41,21.4,69.1,3.224,0.041901,22.240622,0.033555,15.423055,0.144,2034.534992
131,10.0,9.26,129.3,545.1,4.215,0.124418,34.121932,0.06848,38.359144,0.0891,2617.6556
132,5.0,5.075,32.2,116.5,3.615,0.038352,20.102176,0.032479,19.895059,0.1,2871.695849
133,3.0,4.575,20.7,92.7,4.471,0.029469,19.474027,0.02789,19.545425,0.0966,2364.626627
134,10.0,5.025,27.2,107.8,3.971,0.079249,30.992762,0.050146,27.258791,0.1123,2082.621909
135,10.0,5.385,68.5,117.3,1.712,0.052523,20.586205,0.044495,20.670132,0.0967,2204.650539
136,10.0,4.95,40.7,97.8,2.406,0.066563,26.87331,0.044837,23.742446,0.1133,2140.226218
137,10.0,4.82,56.8,101.1,1.781,0.066731,27.654244,0.03971,22.974477,0.1202,2218.32089
138,10.0,7.385,34.9,74.5,2.132,0.046706,18.956934,0.040555,12.926316,0.1468,1658.911266
139,10.0,4.81,30.0,69.2,2.303,0.032613,15.494461,0.033477,9.060469,0.1715,1476.642494
140,10.0,8.215,79.5,349.4,4.396,0.204794,43.498426,0.086719,36.6973,0.1145,1803.595512
141,7.0,4.92,29.2,70.1,2.398,0.044523,21.395407,0.040519,23.123318,0.0895,2632.74009
142,8.0,4.835,32.0,71.0,2.219,0.037801,21.411229,0.02851,19.574713,0.109,2348.930941
143,3.0,4.665,30.8,72.0,2.336,0.025592,18.842404,0.022846,14.725937,0.1214,1742.538972
144,3.0,4.32,25.1,60.3,2.4,0.039857,19.631352,0.031237,17.423133,0.1127,2715.270986
145,3.0,4.26,23.8,62.1,2.613,0.058273,34.894691,0.030643,22.937016,0.1472,2577.366496
146,10.0,4.6,23.7,52.1,2.195,0.052861,25.236872,0.034885,23.228681,0.1087,2688.690573
147,10.0,4.865,51.1,108.0,2.115,0.078142,30.204755,0.045606,26.971771,0.1079,2342.478335
148,8.0,4.69,24.4,74.4,3.057,0.051835,23.084162,0.038577,16.105082,0.1408,1795.002566
149,10.0,4.49,27.8,72.9,2.626,0.021185,16.796867,0.02075,17.416958,0.0963,2244.07367
150,10.0,9.37,117.9,487.7,4.138,0.279321,57.556581,0.082218,44.981438,0.1278,1951.903144
151,10.0,9.245,64.9,464.0,7.15,0.228577,51.209866,0.075572,41.161993,0.1243,2406.783909
152,10.0,9.335,88.6,389.0,4.392,0.248379,53.424422,0.080065,39.825436,0.1303,2151.075673
153,10.0,5.34,28.1,111.1,3.955,0.0499,27.659891,0.032391,22.112396,0.1209,2452.074712
154,2.0,4.45,27.3,75.6,2.767,0.033124,22.269158,0.024816,16.19465,0.1318,2268.897075
155,2.0,4.58,28.5,129.1,4.521,0.041972,31.998368,0.024519,21.783372,0.1423,2636.750464
156,2.0,4.58,27.3,102.7,3.769,0.06701,34.573031,0.038481,22.782166,0.147,2192.102452
157,2.0,4.59,21.9,67.2,3.068,0.059448,35.27983,0.034952,25.391778,0.1296,2590.28516
158,9.0,4.735,37.1,81.1,2.186,0.061456,26.881975,0.037931,25.014856,0.1086,2694.899431
159,1.0,4.235,20.3,50.4,2.485,0.014005,14.272833,0.016092,12.322735,0.1157,2310.771792
160,2.0,4.2,22.9,49.9,2.18,0.022617,17.28505,0.020114,13.653626,0.1264,2139.126076
161,2.0,4.36,34.4,61.8,1.795,0.030874,19.525083,0.025338,18.091466,0.1081,2414.437804
162,10.0,5.586666667,68.0,172.1,2.53,0.080911,22.008359,0.057651,19.715272,0.1119,1566.54518
163,2.0,4.575,32.6,65.0,1.998,0.046725,25.606305,0.034106,21.667828,0.1156,2101.393033
164,10.0,4.98,38.8,79.8,2.057,0.067554,25.573539,0.043153,18.620148,0.1372,1894.610796
165,3.0,4.535,38.0,71.6,1.885,0.034263,21.689677,0.026028,18.323392,0.1157,2343.046183
166,3.0,4.44,31.5,67.6,2.15,0.034323,19.237395,0.029183,18.208947,0.1055,2183.431301
167,9.0,4.475,28.7,63.9,2.227,0.027285,18.001844,0.024536,15.689193,0.1106,1975.987301
168,10.0,4.915,48.6,99.8,2.053,0.054895,21.758698,0.044145,18.556645,0.1109,1699.320495
169,9.0,4.44,27.7,66.8,2.41,0.027784,17.029729,0.025411,13.715733,0.1242,1790.841338
170,5.0,4.74,34.3,71.4,2.083,0.046211,21.218953,0.036166,16.915947,0.1254,1631.806029
171,10.0,4.82,35.8,83.8,2.337,0.056826,19.619852,0.047339,23.184697,0.0846,2172.402845
172,9.0,4.525,31.4,71.3,2.269,0.041362,21.825507,0.032237,18.736082,0.1165,1975.069231
173,3.0,4.49,26.4,63.2,2.398,0.037614,21.720776,0.02829,18.716195,0.1164,2136.880253
174,4.0,4.695,26.9,64.4,2.396,0.053732,25.723629,0.038179,23.894223,0.1073,2319.271959
175,7.0,4.7,26.3,63.2,2.397,0.031425,17.455127,0.02951,16.154963,0.1076,2019.973127
176,10.0,6.33,61.1,121.0,1.981,0.051542,17.282536,0.045533,19.651954,0.088,1695.951299
177,10.0,5.98,32.3,74.5,2.308,0.047841,19.471579,0.03949,22.47118,0.0866,2303.087847
178,10.0,4.63,29.8,64.1,2.153,0.03698,22.570829,0.027434,17.463464,0.1291,1793.298901
179,10.0,5.115,34.6,79.0,2.284,0.072833,30.780808,0.044622,19.814191,0.1551,1817.8307
180,10.0,5.805,57.8,130.1,2.249,0.073534,26.887815,0.0472,19.067389,0.1418,1293.44422
181,10.0,5.005,44.8,93.5,2.086,0.06479,23.48234,0.045141,18.682431,0.1257,1528.319402
182,10.0,6.61,49.9,112.1,2.246,0.032603,15.169233,0.031867,12.631135,0.1217,1271.729565
183,10.0,4.955,41.4,82.4,1.989,0.053073,21.315366,0.041864,16.879633,0.1238,1760.137399
184,10.0,4.9,48.8,84.1,1.723,0.046457,23.482984,0.034992,18.581347,0.1263,1559.398878
185,10.0,5.405,29.0,79.2,2.729,0.061797,24.824056,0.042592,21.073128,0.1178,2135.75503
186,9.0,4.55,26.7,62.2,2.333,0.030679,15.888227,0.027944,12.128443,0.131,1723.298092
187,6.0,4.79,26.1,55.2,2.114,0.035715,18.724732,0.028821,13.944272,0.1348,1715.600782
188,2.0,4.435,23.0,48.5,2.108,0.030488,17.049134,0.027689,15.074592,0.1131,2004.740246
189,10.0,4.52,30.1,63.3,2.107,0.026929,13.481718,0.027346,10.647174,0.1267,1318.959687
190,10.0,5.085,30.9,69.9,2.261,0.046304,19.366135,0.037782,12.615422,0.1531,1728.944808
191,10.0,5.055,41.5,81.4,1.96,0.049066,18.638689,0.044983,12.115505,0.1535,881.031818
192,10.0,5.185,46.3,91.4,1.975,0.076263,29.24563,0.051409,26.144361,0.1118,1971.473577
193,3.0,4.87,28.2,62.6,2.223,0.049885,22.347801,0.039352,22.82822,0.0979,2572.119648
194,2.0,4.795,28.1,63.1,2.244,0.049033,21.577503,0.038133,20.198457,0.1072,2560.974398
195,1.0,4.28,22.2,48.1,2.166,0.013137,11.606781,0.016331,11.244636,0.1028,3092.230063
196,4.0,4.87,25.0,55.8,2.234,0.038843,18.820014,0.031304,16.245607,0.1158,2196.784115
197,8.0,4.665,37.4,79.8,2.133,0.032982,17.360431,0.032568,15.926752,0.1054,1785.75402
198,8.0,4.505,31.0,66.7,2.154,0.032053,17.751676,0.030645,17.006636,0.1045,1658.039801
199,3.0,4.48,23.9,57.2,2.391,0.053974,22.858995,0.038657,18.571994,0.1232,2340.867927
200,1.0,4.22,20.1,44.5,2.219,0.04554,23.404697,0.03397,17.450731,0.134,2406.046318
201,1.0,4.62,22.2,52.6,2.373,0.049698,27.428351,0.032145,20.228843,0.1358,2619.409089
202,3.0,4.59,23.6,85.3,3.621,0.055584,28.91201,0.036239,25.406824,0.1146,3140.856021
203,10.0,4.62,36.5,94.3,2.582,0.079375,27.713228,0.051478,21.771526,0.1274,1773.695008
204,10.0,4.65,48.5,86.6,1.786,0.068786,25.52649,0.050255,22.495867,0.11,1971.610902
205,10.0,4.73,61.9,106.0,1.713,0.071921,28.481865,0.047226,24.408429,0.1166,1984.544702
206,10.0,4.68,47.4,88.4,1.863,0.071966,26.223004,0.050127,21.270542,0.1211,1772.023454
207,10.0,4.74,52.7,98.7,1.874,0.079554,25.614615,0.054609,24.842105,0.1033,1799.80598
208,2.0,5.03,26.6,106.5,4.005,0.089544,37.390703,0.047522,24.983739,0.1497,1833.551278
209,10.0,5.16,46.0,87.9,1.91,0.061283,24.729463,0.041173,14.875345,0.1662,1480.142142
210,5.0,4.94,28.9,66.8,2.311,0.069014,33.771509,0.041004,21.852504,0.1546,1726.277514
211,2.0,4.36,21.1,68.3,3.239,0.025628,17.816693,0.020805,14.178994,0.1258,2565.234515
212,10.0,4.545,45.8,72.1,1.573,0.025717,13.758489,0.02664,15.852102,0.0889,2033.698959
213,10.0,4.89,42.4,84.1,1.984,0.075659,26.865927,0.049831,26.722386,0.0956,2561.888102
214,1.0,4.265,20.4,46.8,2.296,0.014445,13.07906,0.016283,11.835856,0.1104,2844.881033
215,10.0,4.975,30.1,78.1,2.594,0.05967,26.22278,0.042009,20.615323,0.1245,2357.058819
216,2.0,4.39,17.9,46.9,2.624,0.026103,16.337548,0.023619,15.621658,0.1048,2257.923432
217,2.0,4.285,19.6,42.0,2.143,0.039688,21.139448,0.030112,14.941353,0.1415,2482.715914
218,4.0,4.76,32.1,82.3,2.563,0.051008,24.634103,0.033452,17.529065,0.1405,2535.334091
219,3.0,4.795,29.1,65.1,2.239,0.027692,16.65597,0.024827,15.748035,0.106,2460.3099
220,2.0,4.735,25.1,54.7,2.18,0.051172,25.517494,0.036085,15.438318,0.1648,1962.011068
221,2.0,4.59,21.4,52.0,2.437,0.046176,22.25392,0.034562,22.569307,0.0986,2647.72415
222,10.0,4.845,44.2,90.2,2.039,0.038333,19.993414,0.03027,19.236288,0.1041,2423.333394
223,3.0,4.61,22.2,52.2,2.354,0.052294,26.252779,0.036003,20.276402,0.1293,2541.277866
224,7.0,4.735,21.3,53.1,2.492,0.053996,24.091632,0.038576,20.420627,0.1179,2709.988992
225,3.0,4.38,22.3,49.1,2.208,0.024868,15.007662,0.0245,17.132251,0.0871,2820.332347
226,3.0,4.305,27.0,48.6,1.802,0.009551,9.108367,0.012692,7.885763,0.1154,2749.443055
227,10.0,4.69,20.9,41.6,1.992,0.060294,25.15038,0.042099,22.866795,0.1087,2630.01452
228,10.0,4.78,22.0,64.0,2.913,0.049518,21.405935,0.037927,21.803047,0.0982,2942.834549
229,3.0,4.445,23.4,52.2,2.234,0.023941,17.311647,0.021272,16.253487,0.1062,3425.110775
230,3.0,4.445,25.8,55.5,2.149,0.022294,14.112773,0.022128,12.785681,0.1103,2463.787925
231,2.0,4.285,30.6,59.1,1.931,0.008232,10.602304,0.012157,8.531281,0.1226,2294.1962
232,2.0,4.695,29.7,76.8,2.586,0.04555,20.827817,0.036726,19.913128,0.1046,2712.039655
233,2.0,4.415,26.7,89.1,3.342,0.046642,23.566964,0.034149,22.142914,0.1063,3135.994855
234,2.0,4.36,23.7,74.1,3.134,0.039172,19.573213,0.030282,18.611675,0.106,3280.540417
235,2.0,4.52,32.1,75.1,2.339,0.060532,29.329445,0.039687,25.672512,0.1141,2636.474005
236,2.0,4.52,26.6,79.5,2.988,0.066974,30.46742,0.040749,26.679099,0.1138,2766.273036
237,10.0,4.395,49.3,107.9,2.19,0.118805,35.8252,0.05646,25.634096,0.1393,2139.411834
238,9.0,4.81,20.3,60.3,2.967,0.049002,26.203645,0.036786,21.622973,0.1153,2485.606199
239,10.0,5.6,38.6,125.4,3.248,0.095742,34.037366,0.055514,43.751991,0.0771,2483.696111
240,10.0,4.935,37.1,158.7,4.284,0.081708,32.601863,0.046914,25.991515,0.1244,2217.171359
241,5.0,4.67,23.6,125.0,5.302,0.024399,14.575532,0.025533,17.073056,0.083,2251.397274
242,2.0,4.5,24.1,100.8,4.176,0.058263,32.07248,0.035613,17.410933,0.1848,2132.230694
243,4.0,4.66,26.0,59.5,2.287,0.052349,26.164347,0.039419,21.196191,0.1161,2521.045593
244,10.0,4.725,23.4,60.9,2.607,0.046167,20.888204,0.036483,18.645678,0.1115,2506.697717
245,2.0,4.46,23.1,118.3,5.12,0.05047,30.702524,0.033468,17.145969,0.1717,2292.812931
246,2.0,4.385,26.3,86.5,3.287,0.044248,23.244588,0.034731,20.287037,0.1086,2533.220916
